央视频道,#genre#
CCTV1,http://112.237.231.118:8888/rtp/239.253.248.250:8000
CCTV2,http://112.237.231.118:8888/rtp/239.253.248.234:8000
CCTV4,http://112.237.231.118:8888/rtp/239.253.248.111:8000
CCTV5+,http://112.237.231.118:8888/rtp/239.253.248.80:8000
CCTV7,http://112.237.231.118:8888/rtp/239.253.248.235:8000
CCTV9,http://112.237.231.118:8888/rtp/239.253.248.79:8000
CCTV12,http://112.237.231.118:8888/rtp/239.253.248.237:8000
CCTV13,http://112.237.231.118:8888/rtp/239.253.248.14:8000
CCTV17,http://112.237.231.118:8888/rtp/239.253.248.168:8000
卫视频道,#genre#
浙江卫视,http://112.237.231.118:8888/rtp/239.253.248.84:8000
东方卫视,http://112.237.231.118:8888/rtp/239.253.248.86:8000
安徽卫视,http://112.237.231.118:8888/rtp/239.253.248.87:8000
山东卫视,http://112.237.231.118:8888/rtp/239.253.248.78:8000
东南卫视,http://112.237.231.118:8888/rtp/239.253.248.105:8000
吉林卫视,http://112.237.231.118:8888/rtp/239.253.248.46:8000
内蒙古卫视,http://112.237.231.118:8888/rtp/239.253.248.58:8000
陕西卫视,http://112.237.231.118:8888/rtp/239.253.248.49:8000
云南卫视,http://112.237.231.118:8888/rtp/239.253.248.42:8000
厦门卫视,http://112.237.231.118:8888/rtp/239.253.248.106:8000
西藏卫视,http://112.237.231.118:8888/rtp/239.253.248.56:8000
兵团卫视,http://112.237.231.118:8888/rtp/239.253.248.57:8000
少儿动漫,http://112.237.231.118:8888/rtp/239.253.248.157:8000
嘉佳卡通,http://112.237.231.118:8888/rtp/239.253.248.65:8000
优漫卡通,http://112.237.231.118:8888/rtp/239.253.248.64:8000
其他频道,#genre#
都市剧场,http://112.237.231.118:8888/rtp/239.253.248.98:8000
电影频道,#genre#
影迷电影,http://112.237.231.118:8888/rtp/239.253.248.154:8000
教育频道,#genre#
中国教育2,http://112.237.231.118:8888/rtp/239.253.248.107:8000
中国教育4,http://112.237.231.118:8888/rtp/239.253.248.108:8000
华东地区,#genre#
东方财经,http://112.237.231.118:8888/rtp/239.253.248.94:8000
山东教育,http://112.237.231.118:8888/rtp/239.253.248.59:8000
山东少儿,http://112.237.231.118:8888/rtp/239.253.248.25:8000
山东体育,http://112.237.231.118:8888/rtp/239.253.248.22:8000
烟台经济,http://112.237.231.118:8888/rtp/239.253.248.249:8000
华北地区,#genre#
北京卡酷少儿,http://112.237.231.118:8888/rtp/239.253.248.61:8000
其他频道,#genre#
农林卫视,http://112.237.231.118:8888/rtp/239.253.248.70:8000
莱州,http://112.237.231.118:8888/rtp/239.253.248.251:8000
更新时间,#genre#
2026-04-19 10:02:07,https://taoiptv.com/time.mp4
